BookID,Title,AuthorID,Genre,DateOfPublication,Publisher,ISBN,Language,AvailableCopies,AgeRating
1,The Handmaid's Tale,1,Dystopian Fiction,1985-08-01,McClelland & Stewart,9780771008795,English,3,16+
2,Cat's Eye,1,Literary Fiction,1988-09-01,McClelland & Stewart,9780771008801,English,2,16+
3,The Blind Assassin,1,Literary Fiction,2000-09-01,McClelland & Stewart,9780771008818,English,1,18+
4,Norwegian Wood,2,Literary Fiction,1987-09-04,Kodansha,9784062748687,English,2,18+
5,Kafka on the Shore,2,Magical Realism,2002-09-12,Shinchosha,9784101001548,English,3,16+
6,1Q84,2,Science Fiction,2009-05-29,Shinchosha,9784103534235,English,2,18+
7,Americanah,3,Literary Fiction,2013-05-14,Knopf,9780307271082,English,4,16+
8,Half of a Yellow Sun,3,Historical Fiction,2006-09-12,Knopf,9781400044160,English,2,18+
9,Purple Hibiscus,3,Literary Fiction,2003-10-01,Algonquin Books,9781565124271,English,3,16+
10,My Brilliant Friend,4,Literary Fiction,2011-10-01,Europa Editions,9781609450786,English,2,16+
11,The Story of a New Name,4,Literary Fiction,2012-09-01,Europa Editions,9781609451349,English,1,16+
12,Those Who Leave and Those Who Stay,4,Literary Fiction,2013-09-01,Europa Editions,9781609452339,English,1,16+
13,Midnight's Children,5,Magical Realism,1981-04-01,Jonathan Cape,9780224020435,English,1,18+
14,The Satanic Verses,5,Literary Fiction,1988-09-26,Viking,9780670825370,English,2,18+
15,The Moor's Last Sigh,5,Literary Fiction,1995-09-01,Jonathan Cape,9780224042864,English,1,18+
16,Beloved,6,Historical Fiction,1987-09-01,Knopf,9780394535968,English,3,18+
17,Song of Solomon,6,Literary Fiction,1977-09-01,Knopf,9780394497051,English,2,16+
18,The Bluest Eye,6,Literary Fiction,1970-06-01,Holt Rinehart Winston,9780030840357,English,2,18+
19,One Hundred Years of Solitude,7,Magical Realism,1967-05-30,Harper & Row,9780060883287,English,2,16+
20,Love in the Time of Cholera,7,Romance,1985-09-01,Editorial Oveja Negra,9788439720632,English,3,18+
21,Chronicle of a Death Foretold,7,Literary Fiction,1981-04-01,Editorial La Oveja Negra,9788439720649,English,1,16+
22,Sapiens,8,Non-fiction,2011-01-01,Dvir Publishing,9780062316097,English,5,14+
23,Homo Deus,8,Non-fiction,2015-02-01,Dvir Publishing,9780062464347,English,4,16+
24,21 Lessons for the 21st Century,8,Non-fiction,2018-08-21,Spiegel & Grau,9780525512172,English,3,16+
25,The Shining,9,Horror,1977-01-28,Doubleday,9780385121675,English,2,18+
26,It,9,Horror,1986-09-15,Viking,9780670813025,English,3,18+
27,The Stand,9,Post-apocalyptic,1978-10-03,Doubleday,9780385121682,English,2,18+
28,Carrie,9,Horror,1974-04-05,Doubleday,9780385086950,English,4,16+
29,Pet Sematary,9,Horror,1983-11-14,Doubleday,9780385186797,English,1,18+
30,Harry Potter and the Philosopher's Stone,10,Fantasy,1997-06-26,Bloomsbury,9780747532699,English,6,8+
31,Harry Potter and the Chamber of Secrets,10,Fantasy,1998-07-02,Bloomsbury,9780747538493,English,5,8+
32,Harry Potter and the Prisoner of Azkaban,10,Fantasy,1999-07-08,Bloomsbury,9780747542155,English,4,8+
33,Harry Potter and the Goblet of Fire,10,Fantasy,2000-07-08,Bloomsbury,9780747546245,English,3,10+
34,Harry Potter and the Order of the Phoenix,10,Fantasy,2003-06-21,Bloomsbury,9780747551003,English,2,12+
35,Murder on the Orient Express,11,Mystery,1934-01-01,Collins Crime Club,9780007119318,English,3,12+
36,And Then There Were None,11,Mystery,1939-11-06,Collins Crime Club,9780007136834,English,4,14+
37,The Murder of Roger Ackroyd,11,Mystery,1926-06-01,William Collins Sons,9780007527502,English,2,12+
