OrderID,OrderDate,BookID,Cost,Quantity,SupplyDate,FulfillmentStatus,NameOfSupplier
1,2024-01-10,1,12.99,5,2024-01-18,Fulfilled,Baker & Taylor
2,2024-01-15,22,15.95,8,2024-01-25,Fulfilled,Ingram Book Group
3,2024-02-05,30,8.99,10,2024-02-15,Fulfilled,Scholastic
4,2024-02-12,7,14.50,6,2024-02-22,Fulfilled,Random House
5,2024-02-20,19,13.75,4,2024-03-02,Fulfilled,HarperCollins
6,2024-03-01,4,16.20,3,2024-03-12,Fulfilled,Penguin Random House
7,2024-03-05,35,11.99,5,2024-03-18,Fulfilled,Agatha Christie Ltd
8,2024-03-10,40,10.95,7,2024-03-22,Pending,HarperCollins
9,2024-03-15,10,13.99,4,2024-03-28,Pending,Europa Editions
10,2024-03-20,25,12.50,6,2024-04-05,Pending,Doubleday
11,2024-03-22,16,14.95,5,2024-04-08,Processing,Vintage Books
12,2024-03-25,45,13.25,4,2024-04-10,Processing,Riverhead Books
13,2024-01-12,54,16.75,3,2024-01-22,Fulfilled,Heinemann
14,2024-01-18,84,18.99,12,2024-01-28,Fulfilled,Random House
15,2024-01-25,88,17.50,8,2024-02-05,Fulfilled,Little Brown
16,2024-02-01,95,22.95,6,2024-02-12,Fulfilled,DC Comics
17,2024-02-08,100,19.99,10,2024-02-18,Fulfilled,Bantam Spectra
18,2024-02-15,2,14.25,5,2024-02-25,Fulfilled,McClelland & Stewart
19,2024-02-22,61,15.75,4,2024-03-05,Fulfilled,Faber & Faber
20,2024-02-28,68,21.50,3,2024-03-10,Fulfilled,Knopf
21,2024-03-06,75,18.25,7,2024-03-18,Fulfilled,Doubleday
22,2024-03-12,8,16.99,9,2024-03-25,Fulfilled,Shinchosha
23,2024-03-18,36,12.75,6,2024-03-30,Pending,Collins Crime Club
24,2024-03-25,43,13.95,5,2024-04-08,Pending,Rocco
25,2024-03-28,78,14.50,8,2024-04-12,Processing,Houghton Mifflin
26,2024-01-20,85,24.99,15,2024-01-30,Fulfilled,Crown
27,2024-01-28,6,18.75,4,2024-02-08,Fulfilled,Shinchosha
28,2024-02-05,31,9.99,12,2024-02-15,Fulfilled,Bloomsbury
29,2024-02-12,58,17.25,3,2024-02-22,Fulfilled,Bompiani
